Time,Type,X,Y,Z
28,gyro,-7.11,7.17,0.63
29,gyro,14.03,8.4,103.52
30,gyro,30.34,25.4,-162.73
31,gyro,-3.4,5.35,-2.21
32,gyro,-34.86,-3.63,136.03
33,gyro,-20.95,-46.23,-82.83
34,gyro,21.35,-11.44,121.36
35,gyro,-17.37,4.57,-141.17
36,gyro,-0.82,12.49,-32.85
37,gyro,20.39,-39.33,164.61
38,gyro,-38.35,-52.0,-160.13
39,gyro,0.62,-5.18,12.18
40,gyro,27.92,3.77,184.94
41,gyro,-24.69,3.93,-127.76
42,gyro,-0.48,-4.11,3.57
43,gyro,16.18,-23.69,163.7
44,gyro,-30.78,27.65,-159.53
45,gyro,-4.49,3.5,-4.07
46,gyro,22.19,-33.68,157.26
47,gyro,-35.08,-18.47,-157.99
48,gyro,-5.16,-3.24,-7.77
49,gyro,-0.06,-19.49,92.35
50,gyro,-14.21,9.65,-60.45
51,gyro,-9.87,0.67,-22.94
52,gyro,0.23,1.65,-0.24
53,gyro,34.48,6.74,124.08
54,gyro,-52.86,10.1,-126.56
55,gyro,0.11,3.3,-1.71
56,gyro,0.36,-8.77,41.78
57,gyro,-3.13,7.31,-52.67
58,gyro,11.87,12.89,-26.83
59,gyro,13.85,10.25,-9.46
