Time,Type,X,Y,Z
23,gyro,-1.35,0.77,0.1
24,gyro,-1.53,0.59,0.48
25,gyro,-1.59,0.6,0.32
26,gyro,-1.52,0.66,0.11
27,gyro,-1.53,0.57,0.19
28,gyro,-1.44,0.8,0.29
29,gyro,-1.2,0.53,0.28
30,gyro,-1.45,0.84,0.14
31,gyro,-1.55,0.46,0.1
32,gyro,-1.51,0.73,0.36
33,gyro,-1.5,0.91,0.37
34,gyro,-1.38,0.64,-0.02
35,gyro,-1.76,0.6,0.41
36,gyro,-1.59,0.77,0.19
37,gyro,-1.6,0.77,0.11
38,gyro,-1.37,0.61,0.08
39,gyro,-1.58,0.53,0.08
40,gyro,-1.59,0.74,0.14
41,gyro,-1.46,0.52,0.24
42,gyro,-1.4,0.53,0.11
43,gyro,-1.47,0.55,0.13
44,gyro,-1.55,0.55,0.22
45,gyro,-1.48,0.72,0.27
46,gyro,-1.56,0.59,0.26
47,gyro,-1.46,0.51,0.33
48,gyro,-1.59,0.82,0.14
49,gyro,-1.59,0.72,-0.02
50,gyro,-1.41,0.85,0.24
51,gyro,-1.37,0.58,0.18
52,gyro,-1.4,0.63,0.16
53,gyro,-1.31,0.92,0.12
54,gyro,-1.36,0.84,0.19
55,gyro,-1.43,0.68,0.26
56,gyro,-1.49,0.6,0.05
57,gyro,-1.68,0.92,0.0
58,gyro,-1.3,0.81,0.17
59,gyro,-1.48,0.56,0.27
60,gyro,-1.43,0.74,0.28
61,gyro,-1.74,0.82,0.13
62,gyro,-1.58,0.75,0.3
63,gyro,-1.55,0.56,0.34
