connecting
connected with result code0
sensorData {"accelX":-0.068603515625,"accelY":0.021728515625,"accelZ":-1.00146484375,"gyroX":1.86767578125,"gyroY":5.71197509765625,"gyroZ":2.778167724609375}
sensorData {"accelX":-0.074951171875,"accelY":0.023193359375,"accelZ":-0.999267578125,"gyroX":3.089447021484375,"gyroY":-6.5057373046875,"gyroZ":2.4591064453125}
sensorData {"accelX":-0.095947265625,"accelY":0.0224609375,"accelZ":-0.996337890625,"gyroX":1.44744873046875,"gyroY":13.3538818359375,"gyroZ":2.840423583984375}
sensorData {"accelX":-0.049560546875,"accelY":0.027587890625,"accelZ":-1.002197265625,"gyroX":1.750946044921875,"gyroY":7.494049072265625,"gyroZ":3.0816650390625}
sensorData {"accelX":-0.06494140625,"accelY":0.02001953125,"accelZ":-0.995849609375,"gyroX":2.435760498046875,"gyroY":-0.739288330078125,"gyroZ":2.59918212890625}
sensorData {"accelX":0.00439453125,"accelY":0.026611328125,"accelZ":-1.00439453125,"gyroX":0.8404541015625,"gyroY":17.641754150390625,"gyroZ":2.544708251953125}
sensorData {"accelX":0.024169921875,"accelY":0.016357421875,"accelZ":-1.004638671875,"gyroX":-1.066131591796875,"gyroY":40.458526611328125,"gyroZ":2.78594970703125}
sensorData {"accelX":0.067626953125,"accelY":0.013427734375,"accelZ":-0.9931640625,"gyroX":2.38128662109375,"gyroY":1.5252685546875,"gyroZ":2.7703857421875}
sensorData {"accelX":0.16650390625,"accelY":-0.008056640625,"accelZ":-0.99951171875,"gyroX":0.879364013671875,"gyroY":14.73907470703125,"gyroZ":2.6458740234375}
sensorData {"accelX":-0.021728515625,"accelY":0.015380859375,"accelZ":-1.01025390625,"gyroX":2.077789306640625,"gyroY":0.661468505859375,"gyroZ":2.75482177734375}
sensorData {"accelX":0.23974609375,"accelY":-0.028076171875,"accelZ":-1.083251953125,"gyroX":2.16339111328125,"gyroY":4.443511962890625,"gyroZ":2.591400146484375}
sensorData {"accelX":0.047607421875,"accelY":-0.001953125,"accelZ":-0.9111328125,"gyroX":-0.17120361328125,"gyroY":38.544158935546875,"gyroZ":3.883209228515625}
sensorData {"accelX":0.229248046875,"accelY":-0.01708984375,"accelZ":-0.924072265625,"gyroX":2.61474609375,"gyroY":6.33453369140625,"gyroZ":3.976593017578125}
sensorData {"accelX":0.11376953125,"accelY":0.011962890625,"accelZ":-0.85986328125,"gyroX":4.5135498046875,"gyroY":-8.98040771484375,"gyroZ":4.1400146484375}
sensorData {"accelX":0.128173828125,"accelY":0.010498046875,"accelZ":-0.9453125,"gyroX":0.7159423828125,"gyroY":18.186492919921875,"gyroZ":3.338470458984375}
sensorData {"accelX":0.107666015625,"accelY":-0.006103515625,"accelZ":-1.15966796875,"gyroX":9.32281494140625,"gyroY":-52.232666015625,"gyroZ":4.40460205078125}
sensorData {"accelX":-0.035400390625,"accelY":0.046142578125,"accelZ":-1.203857421875,"gyroX":12.536773681640625,"gyroY":-61.283111572265625,"gyroZ":5.252838134765625}
sensorData {"accelX":-0.2490234375,"accelY":0.0869140625,"accelZ":-1.28564453125,"gyroX":17.688446044921875,"gyroY":-108.94775390625,"gyroZ":4.60693359375}
sensorData {"accelX":-0.306640625,"accelY":0.0888671875,"accelZ":-1.269287109375,"gyroX":23.408203125,"gyroY":-185.03219604492188,"gyroZ":2.3345947265625}
sensorData {"accelX":-0.562255859375,"accelY":0.1279296875,"accelZ":-0.86669921875,"gyroX":22.342071533203125,"gyroY":-219.00054931640625,"gyroZ":1.766510009765625}
sensorData {"accelX":-0.7060546875,"accelY":0.102783203125,"accelZ":-0.624755859375,"gyroX":17.9296875,"gyroY":-207.74002075195312,"gyroZ":4.568023681640625}
sensorData {"accelX":-0.81201171875,"accelY":0.082275390625,"accelZ":-0.30029296875,"gyroX":17.626190185546875,"gyroY":-206.77505493164062,"gyroZ":6.7547607421875}
sensorData {"accelX":-0.72265625,"accelY":0.080078125,"accelZ":0.083984375,"gyroX":14.0386962890625,"gyroY":-149.4140625,"gyroZ":7.70416259765625}
sensorData {"accelX":-0.39697265625,"accelY":0.16357421875,"accelZ":0.379638671875,"gyroX":10.746917724609375,"gyroY":-70.8160400390625,"gyroZ":7.0660400390625}
sensorData {"accelX":-0.570068359375,"accelY":0.067626953125,"accelZ":0.655029296875,"gyroX":-0.4046630859375,"gyroY":56.816253662109375,"gyroZ":6.451263427734375}
sensorData {"accelX":-0.720703125,"accelY":0.088134765625,"accelZ":0.22900390625,"gyroX":-12.09320068359375,"gyroY":194.37057495117188,"gyroZ":5.60302734375}
sensorData {"accelX":-0.82421875,"accelY":0.090087890625,"accelZ":-0.302734375,"gyroX":-8.505706787109375,"gyroY":163.97415161132812,"gyroZ":3.898773193359375}
sensorData {"accelX":-0.669189453125,"accelY":0.078125,"accelZ":-0.679931640625,"gyroX":-8.155517578125,"gyroY":178.24630737304688,"gyroZ":2.677001953125}
